========== Ground Truth: False (Unmatch) ==========

15:45:31 {'verified': False, 'distance': 0.802287810730118, 'threshold': 0.68, 'model': 'ArcFace', 'time': 5}
15:45:37 {'verified': False, 'distance': 0.9423909808305815, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
15:45:43 {'verified': False, 'distance': 0.7429141084886295, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
15:45:49 {'verified': False, 'distance': 0.7074343879713925, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
15:45:55 {'verified': False, 'distance': 0.7375358253798416, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
15:46:01 {'verified': False, 'distance': 0.8596580444762072, 'threshold': 0.68, 'model': 'ArcFace', 'time': 5}
15:46:06 {'verified': False, 'distance': 0.930371120039803, 'threshold': 0.68, 'model': 'ArcFace', 'time': 5}
15:46:12 {'verified': False, 'distance': 0.790768156729178, 'threshold': 0.68, 'model': 'ArcFace', 'time': 5}
15:46:18 {'verified': False, 'distance': 0.7802528549323087, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
15:46:26 {'verified': False, 'distance': 0.9070082342401701, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
15:46:32 {'verified': False, 'distance': 0.849213612627261, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
15:46:38 {'verified': False, 'distance': 0.8493015545442647, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
15:46:44 {'verified': False, 'distance': 0.8926101405362149, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
15:46:49 {'verified': False, 'distance': 0.917183921100076, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
15:46:55 {'verified': False, 'distance': 0.9019975204519981, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
15:47:00 {'verified': False, 'distance': 0.9195910363550714, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
15:47:06 {'verified': False, 'distance': 0.9596939973917437, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
15:47:11 {'verified': False, 'distance': 0.9673497208976722, 'threshold': 0.68, 'model': 'ArcFace', 'time': 5}
15:47:17 {'verified': False, 'distance': 0.9189092732711486, 'threshold': 0.68, 'model': 'ArcFace', 'time': 5}
15:47:23 {'verified': False, 'distance': 0.8720257001849336, 'threshold': 0.68, 'model': 'ArcFace', 'time': 5}
15:47:29 {'verified': False, 'distance': 0.8732198666415861, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
15:47:39 {'verified': False, 'distance': 0.8936515533687006, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
15:47:49 {'verified': True, 'distance': 0.619215410913877, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
15:47:55 {'verified': False, 'distance': 0.7120823058293525, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
15:48:01 {'verified': True, 'distance': 0.6480125362229516, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
15:48:06 {'verified': True, 'distance': 0.6546421883444101, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
15:48:12 {'verified': True, 'distance': 0.6536227675273705, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
15:48:18 {'verified': True, 'distance': 0.6650884442266589, 'threshold': 0.68, 'model': 'ArcFace', 'time': 5}
15:48:24 {'verified': True, 'distance': 0.6792362009011388, 'threshold': 0.68, 'model': 'ArcFace', 'time': 5}
15:48:30 {'verified': False, 'distance': 0.7134498772129244, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
15:48:35 {'verified': False, 'distance': 0.7324123768637342, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
15:48:41 {'verified': False, 'distance': 0.6819747045430329, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
15:48:46 {'verified': True, 'distance': 0.6654451773832619, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
15:48:52 {'verified': False, 'distance': 0.7099525940447757, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
15:49:01 {'verified': False, 'distance': 0.8123562409120093, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
15:49:07 {'verified': False, 'distance': 0.8043819955509228, 'threshold': 0.68, 'model': 'ArcFace', 'time': 5}
