========== Ground Truth: False (Unmatch) ==========

14:06:53 {'verified': False, 'distance': 0.42922662025748703, 'threshold': 0.23, 'model': 'DeepFace', 'time': 144}
14:08:01 {'verified': False, 'distance': 0.507759518478278, 'threshold': 0.23, 'model': 'DeepFace', 'time': 66}
14:09:08 {'verified': False, 'distance': 0.4148009828739606, 'threshold': 0.23, 'model': 'DeepFace', 'time': 66}
14:10:17 {'verified': False, 'distance': 0.4179344448992559, 'threshold': 0.23, 'model': 'DeepFace', 'time': 67}
14:11:25 {'verified': False, 'distance': 0.445418909252982, 'threshold': 0.23, 'model': 'DeepFace', 'time': 67}
14:12:32 {'verified': False, 'distance': 0.4379775629720034, 'threshold': 0.23, 'model': 'DeepFace', 'time': 66}
14:13:44 {'verified': False, 'distance': 0.4469979061371324, 'threshold': 0.23, 'model': 'DeepFace', 'time': 70}
14:14:54 {'verified': False, 'distance': 0.4077114592742106, 'threshold': 0.23, 'model': 'DeepFace', 'time': 69}
14:16:03 {'verified': False, 'distance': 0.49295291267896324, 'threshold': 0.23, 'model': 'DeepFace', 'time': 67}
14:17:14 {'verified': False, 'distance': 0.4453036273884403, 'threshold': 0.23, 'model': 'DeepFace', 'time': 67}
14:18:26 {'verified': False, 'distance': 0.4089137722690249, 'threshold': 0.23, 'model': 'DeepFace', 'time': 70}
14:19:36 {'verified': False, 'distance': 0.349750748356656, 'threshold': 0.23, 'model': 'DeepFace', 'time': 69}
14:20:45 {'verified': False, 'distance': 0.3561163469054307, 'threshold': 0.23, 'model': 'DeepFace', 'time': 67}
14:21:54 {'verified': False, 'distance': 0.385479325560634, 'threshold': 0.23, 'model': 'DeepFace', 'time': 68}
14:23:04 {'verified': False, 'distance': 0.4088465874561872, 'threshold': 0.23, 'model': 'DeepFace', 'time': 69}
14:24:13 {'verified': False, 'distance': 0.4233802981181807, 'threshold': 0.23, 'model': 'DeepFace', 'time': 68}
14:25:22 {'verified': False, 'distance': 0.4149430391079192, 'threshold': 0.23, 'model': 'DeepFace', 'time': 68}
14:26:30 {'verified': False, 'distance': 0.4028005993536651, 'threshold': 0.23, 'model': 'DeepFace', 'time': 67}
14:27:39 {'verified': False, 'distance': 0.4145447682960812, 'threshold': 0.23, 'model': 'DeepFace', 'time': 68}
14:28:48 {'verified': False, 'distance': 0.4447209058448812, 'threshold': 0.23, 'model': 'DeepFace', 'time': 67}
14:29:57 {'verified': False, 'distance': 0.36086006326714426, 'threshold': 0.23, 'model': 'DeepFace', 'time': 67}
14:31:11 {'verified': False, 'distance': 0.4441620420126178, 'threshold': 0.23, 'model': 'DeepFace', 'time': 68}
14:32:25 {'verified': False, 'distance': 0.4360758072483033, 'threshold': 0.23, 'model': 'DeepFace', 'time': 68}
14:33:35 {'verified': False, 'distance': 0.3987777024709659, 'threshold': 0.23, 'model': 'DeepFace', 'time': 68}
14:34:45 {'verified': False, 'distance': 0.3898330445584156, 'threshold': 0.23, 'model': 'DeepFace', 'time': 68}
14:35:54 {'verified': False, 'distance': 0.37352655838032567, 'threshold': 0.23, 'model': 'DeepFace', 'time': 68}
14:37:03 {'verified': False, 'distance': 0.401732266304588, 'threshold': 0.23, 'model': 'DeepFace', 'time': 68}
14:38:13 {'verified': False, 'distance': 0.4151850844071643, 'threshold': 0.23, 'model': 'DeepFace', 'time': 68}
14:39:22 {'verified': False, 'distance': 0.4260944515021212, 'threshold': 0.23, 'model': 'DeepFace', 'time': 68}
14:40:31 {'verified': False, 'distance': 0.4170908733155215, 'threshold': 0.23, 'model': 'DeepFace', 'time': 68}
14:41:40 {'verified': False, 'distance': 0.4207428300098326, 'threshold': 0.23, 'model': 'DeepFace', 'time': 68}
14:42:49 {'verified': False, 'distance': 0.4170462417235943, 'threshold': 0.23, 'model': 'DeepFace', 'time': 68}
14:43:58 {'verified': False, 'distance': 0.41970236044670306, 'threshold': 0.23, 'model': 'DeepFace', 'time': 68}
14:45:06 {'verified': False, 'distance': 0.4075255211912864, 'threshold': 0.23, 'model': 'DeepFace', 'time': 67}
14:46:20 {'verified': False, 'distance': 0.4401898250379346, 'threshold': 0.23, 'model': 'DeepFace', 'time': 68}
14:47:30 {'verified': False, 'distance': 0.44225781635683914, 'threshold': 0.23, 'model': 'DeepFace', 'time': 68}
14:48:39 {'verified': False, 'distance': 0.44499977092460596, 'threshold': 0.23, 'model': 'DeepFace', 'time': 68}
14:49:54 {'verified': False, 'distance': 0.45304898811823713, 'threshold': 0.23, 'model': 'DeepFace', 'time': 66}
14:51:01 {'verified': False, 'distance': 0.45280764486019853, 'threshold': 0.23, 'model': 'DeepFace', 'time': 66}
14:52:10 {'verified': False, 'distance': 0.45609866345700345, 'threshold': 0.23, 'model': 'DeepFace', 'time': 67}
14:53:18 {'verified': False, 'distance': 0.45389009148419346, 'threshold': 0.23, 'model': 'DeepFace', 'time': 66}
14:54:26 {'verified': False, 'distance': 0.45693258928253955, 'threshold': 0.23, 'model': 'DeepFace', 'time': 66}
14:55:35 {'verified': False, 'distance': 0.45415977911014616, 'threshold': 0.23, 'model': 'DeepFace', 'time': 68}
14:56:45 {'verified': False, 'distance': 0.47246582968113326, 'threshold': 0.23, 'model': 'DeepFace', 'time': 69}
14:57:53 {'verified': False, 'distance': 0.4698143431917019, 'threshold': 0.23, 'model': 'DeepFace', 'time': 67}
14:59:02 {'verified': False, 'distance': 0.46289244762656856, 'threshold': 0.23, 'model': 'DeepFace', 'time': 68}
15:00:10 {'verified': False, 'distance': 0.4520086460435022, 'threshold': 0.23, 'model': 'DeepFace', 'time': 67}
15:01:29 {'verified': False, 'distance': 0.44098507785492713, 'threshold': 0.23, 'model': 'DeepFace', 'time': 69}
15:02:42 {'verified': False, 'distance': 0.4061069773525312, 'threshold': 0.23, 'model': 'DeepFace', 'time': 67}
15:03:51 {'verified': False, 'distance': 0.4622050300784507, 'threshold': 0.23, 'model': 'DeepFace', 'time': 67}
15:04:59 {'verified': False, 'distance': 0.45561004164582886, 'threshold': 0.23, 'model': 'DeepFace', 'time': 67}
15:06:07 {'verified': False, 'distance': 0.4572876464039016, 'threshold': 0.23, 'model': 'DeepFace', 'time': 67}
15:07:15 {'verified': False, 'distance': 0.47730631202662144, 'threshold': 0.23, 'model': 'DeepFace', 'time': 67}
15:08:22 {'verified': False, 'distance': 0.4852656176105562, 'threshold': 0.23, 'model': 'DeepFace', 'time': 66}
15:09:31 {'verified': False, 'distance': 0.4696488489888737, 'threshold': 0.23, 'model': 'DeepFace', 'time': 68}
15:10:41 {'verified': False, 'distance': 0.48165321479230006, 'threshold': 0.23, 'model': 'DeepFace', 'time': 69}
15:11:51 {'verified': False, 'distance': 0.4871228138413577, 'threshold': 0.23, 'model': 'DeepFace', 'time': 69}
15:13:00 {'verified': False, 'distance': 0.49315821250623915, 'threshold': 0.23, 'model': 'DeepFace', 'time': 68}
15:14:10 {'verified': False, 'distance': 0.48731214649419174, 'threshold': 0.23, 'model': 'DeepFace', 'time': 68}
15:15:17 {'verified': False, 'distance': 0.48933047987647316, 'threshold': 0.23, 'model': 'DeepFace', 'time': 66}
15:16:26 {'verified': False, 'distance': 0.3972071834839729, 'threshold': 0.23, 'model': 'DeepFace', 'time': 68}
15:17:36 {'verified': False, 'distance': 0.48283624724821683, 'threshold': 0.23, 'model': 'DeepFace', 'time': 69}
15:18:44 {'verified': False, 'distance': 0.49002100017824146, 'threshold': 0.23, 'model': 'DeepFace', 'time': 67}
15:19:52 {'verified': False, 'distance': 0.48247161126712146, 'threshold': 0.23, 'model': 'DeepFace', 'time': 66}
15:21:02 {'verified': False, 'distance': 0.42100068756840103, 'threshold': 0.23, 'model': 'DeepFace', 'time': 68}
15:22:11 {'verified': False, 'distance': 0.43436013660843287, 'threshold': 0.23, 'model': 'DeepFace', 'time': 68}
15:23:21 {'verified': False, 'distance': 0.44436538680447424, 'threshold': 0.23, 'model': 'DeepFace', 'time': 68}
15:24:28 {'verified': False, 'distance': 0.43722081520788325, 'threshold': 0.23, 'model': 'DeepFace', 'time': 66}
15:25:35 {'verified': False, 'distance': 0.43131054404212843, 'threshold': 0.23, 'model': 'DeepFace', 'time': 66}
15:26:43 {'verified': False, 'distance': 0.43597862121044073, 'threshold': 0.23, 'model': 'DeepFace', 'time': 67}
15:27:51 {'verified': False, 'distance': 0.44652181176794536, 'threshold': 0.23, 'model': 'DeepFace', 'time': 66}
15:28:58 {'verified': False, 'distance': 0.46020858264299846, 'threshold': 0.23, 'model': 'DeepFace', 'time': 66}
15:30:06 {'verified': False, 'distance': 0.4642411126350309, 'threshold': 0.23, 'model': 'DeepFace', 'time': 67}

========== Ground Truth: True (Match) ==========

17:34:12 {'verified': True, 'distance': 0.158829287653534, 'threshold': 0.23, 'model': 'DeepFace', 'time': 67}
17:35:19 {'verified': True, 'distance': 0.21183805913226017, 'threshold': 0.23, 'model': 'DeepFace', 'time': 65}
17:36:25 {'verified': True, 'distance': 0.2158945901011352, 'threshold': 0.23, 'model': 'DeepFace', 'time': 65}
17:37:32 {'verified': True, 'distance': 0.1765199857482712, 'threshold': 0.23, 'model': 'DeepFace', 'time': 66}
17:38:39 {'verified': True, 'distance': 0.196856192401082, 'threshold': 0.23, 'model': 'DeepFace', 'time': 65}
17:39:46 {'verified': True, 'distance': 0.19958810625690382, 'threshold': 0.23, 'model': 'DeepFace', 'time': 66}
17:40:51 {'verified': True, 'distance': 0.17640629555405063, 'threshold': 0.23, 'model': 'DeepFace', 'time': 64}
17:41:58 {'verified': False, 'distance': 0.2897952243391617, 'threshold': 0.23, 'model': 'DeepFace', 'time': 66}
17:43:06 {'verified': False, 'distance': 0.23484301928476392, 'threshold': 0.23, 'model': 'DeepFace', 'time': 66}
17:44:15 {'verified': True, 'distance': 0.15875211434165393, 'threshold': 0.23, 'model': 'DeepFace', 'time': 65}
17:45:22 {'verified': False, 'distance': 0.3682153139189649, 'threshold': 0.23, 'model': 'DeepFace', 'time': 66}
17:46:28 {'verified': False, 'distance': 0.40083015117056775, 'threshold': 0.23, 'model': 'DeepFace', 'time': 65}
17:47:34 {'verified': False, 'distance': 0.43464570327841723, 'threshold': 0.23, 'model': 'DeepFace', 'time': 65}
17:48:41 {'verified': False, 'distance': 0.4433258454437998, 'threshold': 0.23, 'model': 'DeepFace', 'time': 65}
17:49:47 {'verified': False, 'distance': 0.4558287051759782, 'threshold': 0.23, 'model': 'DeepFace', 'time': 65}
17:50:54 {'verified': False, 'distance': 0.44262434725889244, 'threshold': 0.23, 'model': 'DeepFace', 'time': 65}
17:51:59 {'verified': False, 'distance': 0.42399655890516197, 'threshold': 0.23, 'model': 'DeepFace', 'time': 64}
17:53:04 {'verified': False, 'distance': 0.43766457673656056, 'threshold': 0.23, 'model': 'DeepFace', 'time': 64}
17:54:10 {'verified': False, 'distance': 0.4591065890546697, 'threshold': 0.23, 'model': 'DeepFace', 'time': 65}
17:55:16 {'verified': False, 'distance': 0.5012255174827671, 'threshold': 0.23, 'model': 'DeepFace', 'time': 65}
17:56:23 {'verified': False, 'distance': 0.47763029175848193, 'threshold': 0.23, 'model': 'DeepFace', 'time': 65}
17:57:34 {'verified': False, 'distance': 0.30572545239765614, 'threshold': 0.23, 'model': 'DeepFace', 'time': 65}
17:58:45 {'verified': True, 'distance': 0.19298527619399153, 'threshold': 0.23, 'model': 'DeepFace', 'time': 64}
17:59:51 {'verified': False, 'distance': 0.3275138934509383, 'threshold': 0.23, 'model': 'DeepFace', 'time': 65}
18:00:56 {'verified': False, 'distance': 0.36870005483628066, 'threshold': 0.23, 'model': 'DeepFace', 'time': 64}
18:02:02 {'verified': False, 'distance': 0.3666931831580228, 'threshold': 0.23, 'model': 'DeepFace', 'time': 64}
18:03:08 {'verified': True, 'distance': 0.2243795306598707, 'threshold': 0.23, 'model': 'DeepFace', 'time': 65}
18:04:14 {'verified': True, 'distance': 0.19358125209077814, 'threshold': 0.23, 'model': 'DeepFace', 'time': 65}
18:05:20 {'verified': True, 'distance': 0.21194194863140148, 'threshold': 0.23, 'model': 'DeepFace', 'time': 65}
18:06:27 {'verified': True, 'distance': 0.1939557860207729, 'threshold': 0.23, 'model': 'DeepFace', 'time': 65}
18:07:33 {'verified': True, 'distance': 0.2068668499323093, 'threshold': 0.23, 'model': 'DeepFace', 'time': 65}
18:08:39 {'verified': True, 'distance': 0.1919294771813561, 'threshold': 0.23, 'model': 'DeepFace', 'time': 64}
18:09:45 {'verified': False, 'distance': 0.2414045113318123, 'threshold': 0.23, 'model': 'DeepFace', 'time': 65}
18:10:50 {'verified': True, 'distance': 0.18555202302772023, 'threshold': 0.23, 'model': 'DeepFace', 'time': 64}
18:12:00 {'verified': False, 'distance': 0.27993231709307553, 'threshold': 0.23, 'model': 'DeepFace', 'time': 65}
18:13:05 {'verified': False, 'distance': 0.28581470527550057, 'threshold': 0.23, 'model': 'DeepFace', 'time': 64}
18:14:12 {'verified': False, 'distance': 0.26210573112771274, 'threshold': 0.23, 'model': 'DeepFace', 'time': 66}
