========== Ground Truth: False (Unmatch) ==========

13:33:32 {'verified': False, 'distance': 0.5154063804578479, 'threshold': 0.4, 'model': 'Facenet', 'time': 21}
13:33:42 {'verified': False, 'distance': 0.6160068259260573, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:33:50 {'verified': False, 'distance': 0.5634531725818865, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:33:59 {'verified': False, 'distance': 0.4571281036450311, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:34:07 {'verified': False, 'distance': 0.518463351678021, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:34:15 {'verified': False, 'distance': 0.5766836384928311, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:34:23 {'verified': False, 'distance': 0.5990594130144167, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:34:32 {'verified': False, 'distance': 0.5595638520933828, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:34:40 {'verified': False, 'distance': 0.5910745004588904, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:34:51 {'verified': False, 'distance': 0.5291413088117503, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:35:00 {'verified': False, 'distance': 0.490024542252397, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:35:09 {'verified': False, 'distance': 0.5531871139754005, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:35:17 {'verified': False, 'distance': 0.6157324183207233, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:35:25 {'verified': False, 'distance': 0.6727010383254388, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:35:33 {'verified': False, 'distance': 0.6340042662304378, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:35:42 {'verified': False, 'distance': 0.6394746355372407, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:35:50 {'verified': False, 'distance': 0.6168517748123952, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:35:58 {'verified': False, 'distance': 0.6237396760471063, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:36:07 {'verified': False, 'distance': 0.6129358763302539, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:36:16 {'verified': False, 'distance': 0.6068505902276673, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:36:24 {'verified': False, 'distance': 0.6107123957447714, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:36:37 {'verified': False, 'distance': 0.6517699742869074, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:36:49 {'verified': True, 'distance': 0.3922381218253542, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:36:58 {'verified': False, 'distance': 0.5508585652167628, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:37:06 {'verified': False, 'distance': 0.45890144830711976, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:37:15 {'verified': False, 'distance': 0.4477694474574919, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:37:23 {'verified': False, 'distance': 0.43802652688847465, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:37:32 {'verified': True, 'distance': 0.3785830198262734, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:37:40 {'verified': False, 'distance': 0.40797524447772615, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:37:48 {'verified': False, 'distance': 0.40837821518494777, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:37:56 {'verified': True, 'distance': 0.39521011558328456, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:38:04 {'verified': True, 'distance': 0.37847037426735286, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:38:13 {'verified': False, 'distance': 0.40967483406022, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:38:21 {'verified': False, 'distance': 0.44355617652590795, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:38:33 {'verified': False, 'distance': 0.6358966794595192, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:38:41 {'verified': False, 'distance': 0.6360752419212427, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:38:49 {'verified': False, 'distance': 0.6140033664677127, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:39:05 {'verified': False, 'distance': 0.626146169265138, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:39:13 {'verified': False, 'distance': 0.6357818846934511, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:39:21 {'verified': False, 'distance': 0.6397147812264662, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:39:29 {'verified': False, 'distance': 0.6201170656267676, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:39:38 {'verified': False, 'distance': 0.6425612871488591, 'threshold': 0.4, 'model': 'Facenet', 'time': 8}
13:39:47 {'verified': False, 'distance': 0.6340118543880103, 'threshold': 0.4, 'model': 'Facenet', 'time': 8}
13:39:56 {'verified': False, 'distance': 0.6374316807741556, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:40:04 {'verified': False, 'distance': 0.6414616605521514, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:40:13 {'verified': False, 'distance': 0.640779041423267, 'threshold': 0.4, 'model': 'Facenet', 'time': 8}
13:40:21 {'verified': False, 'distance': 0.6345617536714001, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:40:37 {'verified': False, 'distance': 0.6362559481643326, 'threshold': 0.4, 'model': 'Facenet', 'time': 8}
13:40:51 {'verified': False, 'distance': 0.5787555113722577, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:40:59 {'verified': False, 'distance': 0.6016771188759604, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:41:08 {'verified': False, 'distance': 0.5545419832832532, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:41:16 {'verified': False, 'distance': 0.5826386379569239, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:41:25 {'verified': False, 'distance': 0.5941861139459617, 'threshold': 0.4, 'model': 'Facenet', 'time': 8}
13:41:34 {'verified': False, 'distance': 0.5690084769977799, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:41:42 {'verified': False, 'distance': 0.5815501187897811, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:41:50 {'verified': False, 'distance': 0.5821814859167163, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:41:59 {'verified': False, 'distance': 0.5403536354805019, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:42:07 {'verified': False, 'distance': 0.5800892294548847, 'threshold': 0.4, 'model': 'Facenet', 'time': 8}
13:42:16 {'verified': False, 'distance': 0.5651771108061927, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
