========== Ground Truth: False (Unmatch) ==========

13:44:49 {'verified': False, 'distance': 0.5255489751826277, 'threshold': 0.3, 'model': 'Facenet512', 'time': 14}
13:44:59 {'verified': False, 'distance': 0.7919393516851105, 'threshold': 0.3, 'model': 'Facenet512', 'time': 7}
13:45:08 {'verified': False, 'distance': 0.3732280857534743, 'threshold': 0.3, 'model': 'Facenet512', 'time': 8}
13:45:17 {'verified': False, 'distance': 0.412759188576897, 'threshold': 0.3, 'model': 'Facenet512', 'time': 7}
13:45:25 {'verified': False, 'distance': 0.39614539528926973, 'threshold': 0.3, 'model': 'Facenet512', 'time': 7}
13:45:34 {'verified': False, 'distance': 0.5560115064468855, 'threshold': 0.3, 'model': 'Facenet512', 'time': 7}
13:45:42 {'verified': False, 'distance': 0.6763939561191934, 'threshold': 0.3, 'model': 'Facenet512', 'time': 7}
13:45:51 {'verified': False, 'distance': 0.41242163388963093, 'threshold': 0.3, 'model': 'Facenet512', 'time': 8}
13:46:00 {'verified': False, 'distance': 0.4838230232790742, 'threshold': 0.3, 'model': 'Facenet512', 'time': 7}
13:46:11 {'verified': False, 'distance': 0.6004885603734749, 'threshold': 0.3, 'model': 'Facenet512', 'time': 7}
13:46:20 {'verified': False, 'distance': 0.3669671587926744, 'threshold': 0.3, 'model': 'Facenet512', 'time': 7}
13:46:29 {'verified': False, 'distance': 0.5287153229634044, 'threshold': 0.3, 'model': 'Facenet512', 'time': 8}
13:46:38 {'verified': False, 'distance': 0.5904516982753873, 'threshold': 0.3, 'model': 'Facenet512', 'time': 8}
13:46:47 {'verified': False, 'distance': 0.6096124056823933, 'threshold': 0.3, 'model': 'Facenet512', 'time': 8}
13:46:55 {'verified': False, 'distance': 0.5865966002383218, 'threshold': 0.3, 'model': 'Facenet512', 'time': 7}
13:47:04 {'verified': False, 'distance': 0.6201075739409445, 'threshold': 0.3, 'model': 'Facenet512', 'time': 7}
13:47:12 {'verified': False, 'distance': 0.68422920432765, 'threshold': 0.3, 'model': 'Facenet512', 'time': 7}
13:47:20 {'verified': False, 'distance': 0.6122062707822157, 'threshold': 0.3, 'model': 'Facenet512', 'time': 7}
13:47:28 {'verified': False, 'distance': 0.6190735132088698, 'threshold': 0.3, 'model': 'Facenet512', 'time': 7}
13:47:37 {'verified': False, 'distance': 0.6858359730872456, 'threshold': 0.3, 'model': 'Facenet512', 'time': 7}
13:47:46 {'verified': False, 'distance': 0.6475685391315904, 'threshold': 0.3, 'model': 'Facenet512', 'time': 7}
13:47:59 {'verified': False, 'distance': 0.7170868147025167, 'threshold': 0.3, 'model': 'Facenet512', 'time': 7}
13:48:11 {'verified': False, 'distance': 0.45229290927985866, 'threshold': 0.3, 'model': 'Facenet512', 'time': 7}
13:48:21 {'verified': False, 'distance': 0.423659234761118, 'threshold': 0.3, 'model': 'Facenet512', 'time': 7}
13:48:29 {'verified': False, 'distance': 0.46779049185615595, 'threshold': 0.3, 'model': 'Facenet512', 'time': 7}
13:48:38 {'verified': False, 'distance': 0.4778438054942199, 'threshold': 0.3, 'model': 'Facenet512', 'time': 8}
13:48:46 {'verified': False, 'distance': 0.448289966042971, 'threshold': 0.3, 'model': 'Facenet512', 'time': 8}
