========== Ground Truth: False (Unmatch) ==========

13:27:49 {'verified': False, 'distance': 0.3766498914174986, 'threshold': 0.1, 'model': 'OpenFace', 'time': 5}
13:27:53 {'verified': False, 'distance': 0.4984427283577185, 'threshold': 0.1, 'model': 'OpenFace', 'time': 2}
13:27:57 {'verified': False, 'distance': 0.3686221081437102, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
13:28:02 {'verified': False, 'distance': 0.28806484566821733, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
13:28:06 {'verified': False, 'distance': 0.2000111526654469, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
13:28:11 {'verified': False, 'distance': 0.19304457317939816, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
13:28:15 {'verified': False, 'distance': 0.4217507355729486, 'threshold': 0.1, 'model': 'OpenFace', 'time': 2}
13:28:18 {'verified': False, 'distance': 0.23889986196117707, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
13:28:23 {'verified': False, 'distance': 0.2821657412531047, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
13:28:29 {'verified': False, 'distance': 0.4015990808491082, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
13:28:33 {'verified': False, 'distance': 0.5795143188063114, 'threshold': 0.1, 'model': 'OpenFace', 'time': 2}
13:28:37 {'verified': False, 'distance': 0.3491025848141085, 'threshold': 0.1, 'model': 'OpenFace', 'time': 2}
13:28:40 {'verified': False, 'distance': 0.32980200718113806, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
13:28:44 {'verified': False, 'distance': 0.4018188378093296, 'threshold': 0.1, 'model': 'OpenFace', 'time': 2}
13:28:48 {'verified': False, 'distance': 0.49600403869010345, 'threshold': 0.1, 'model': 'OpenFace', 'time': 2}
13:28:51 {'verified': False, 'distance': 0.5137550725969454, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
13:28:55 {'verified': False, 'distance': 0.4713326337107331, 'threshold': 0.1, 'model': 'OpenFace', 'time': 2}
13:28:58 {'verified': False, 'distance': 0.4905765701592347, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
13:29:02 {'verified': False, 'distance': 0.5440038076380123, 'threshold': 0.1, 'model': 'OpenFace', 'time': 2}
13:29:06 {'verified': False, 'distance': 0.6262485434771656, 'threshold': 0.1, 'model': 'OpenFace', 'time': 2}
13:29:10 {'verified': False, 'distance': 0.24049302038599474, 'threshold': 0.1, 'model': 'OpenFace', 'time': 2}
13:29:18 {'verified': False, 'distance': 0.31029725631101424, 'threshold': 0.1, 'model': 'OpenFace', 'time': 2}
13:29:26 {'verified': False, 'distance': 0.21354351734462362, 'threshold': 0.1, 'model': 'OpenFace', 'time': 2}
13:29:30 {'verified': False, 'distance': 0.11716816519378126, 'threshold': 0.1, 'model': 'OpenFace', 'time': 2}
13:29:33 {'verified': False, 'distance': 0.18440009526158663, 'threshold': 0.1, 'model': 'OpenFace', 'time': 2}
13:29:37 {'verified': False, 'distance': 0.18702719006966428, 'threshold': 0.1, 'model': 'OpenFace', 'time': 2}
13:29:40 {'verified': False, 'distance': 0.20697287180634738, 'threshold': 0.1, 'model': 'OpenFace', 'time': 2}
13:29:44 {'verified': False, 'distance': 0.28016383261831057, 'threshold': 0.1, 'model': 'OpenFace', 'time': 2}
13:29:48 {'verified': False, 'distance': 0.2837406242839442, 'threshold': 0.1, 'model': 'OpenFace', 'time': 2}
13:29:51 {'verified': False, 'distance': 0.34818416826262744, 'threshold': 0.1, 'model': 'OpenFace', 'time': 2}
13:29:55 {'verified': False, 'distance': 0.29463845299977964, 'threshold': 0.1, 'model': 'OpenFace', 'time': 2}
13:29:59 {'verified': False, 'distance': 0.2879432782247445, 'threshold': 0.1, 'model': 'OpenFace', 'time': 2}
13:30:02 {'verified': False, 'distance': 0.254784986407227, 'threshold': 0.1, 'model': 'OpenFace', 'time': 2}
