========== Ground Truth: False (Unmatch) ==========

11:25:31 {'verified': True, 'distance': 0.34329049021461633, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
11:25:39 {'verified': False, 'distance': 0.5484584445068432, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 5}
11:25:47 {'verified': True, 'distance': 0.365032394307652, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 7}
11:25:56 {'verified': True, 'distance': 0.3333567946903019, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 7}
11:26:03 {'verified': True, 'distance': 0.3516645856044359, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 6}
11:26:10 {'verified': True, 'distance': 0.3234271155280748, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
11:26:16 {'verified': True, 'distance': 0.33057304529628795, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
11:26:21 {'verified': True, 'distance': 0.34233891482428713, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
11:26:27 {'verified': True, 'distance': 0.30485753464603826, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 5}
11:26:37 {'verified': False, 'distance': 0.42212142719126766, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 6}
11:26:44 {'verified': False, 'distance': 0.4373871763669742, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 5}
11:26:50 {'verified': False, 'distance': 0.48580042541116, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
11:26:54 {'verified': False, 'distance': 0.4657434438938387, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
11:26:59 {'verified': False, 'distance': 0.4845318527187744, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
11:27:05 {'verified': False, 'distance': 0.47276172038909103, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 5}
11:27:13 {'verified': False, 'distance': 0.4952769515000658, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 8}
11:27:20 {'verified': False, 'distance': 0.5310520883697789, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 5}
11:27:25 {'verified': False, 'distance': 0.5202097705182006, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
11:27:30 {'verified': False, 'distance': 0.4699272727592282, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
11:27:35 {'verified': False, 'distance': 0.42388904633714963, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
11:27:41 {'verified': False, 'distance': 0.44357214585788973, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
11:27:51 {'verified': True, 'distance': 0.3289084156068577, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 5}
11:28:00 {'verified': True, 'distance': 0.33719683585755444, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
11:28:06 {'verified': True, 'distance': 0.3784062132496757, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
11:28:10 {'verified': True, 'distance': 0.35877948752247657, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
11:28:15 {'verified': True, 'distance': 0.36511572219741106, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
11:28:22 {'verified': True, 'distance': 0.3522039085583827, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 6}
11:28:29 {'verified': True, 'distance': 0.3476075129618229, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 5}
11:28:34 {'verified': True, 'distance': 0.345339403629914, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
11:28:40 {'verified': True, 'distance': 0.35321641056049746, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 5}
11:28:45 {'verified': True, 'distance': 0.3619618691452984, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
11:28:55 {'verified': True, 'distance': 0.3670524327214656, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 9}
11:29:01 {'verified': True, 'distance': 0.36632998890303536, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 5}
11:29:06 {'verified': True, 'distance': 0.3762422008612971, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
11:29:15 {'verified': True, 'distance': 0.30858968568502354, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
11:29:21 {'verified': True, 'distance': 0.32026142150817194, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
11:29:27 {'verified': True, 'distance': 0.3116307626442938, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 5}
11:29:41 {'verified': True, 'distance': 0.2936204874004952, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
11:29:46 {'verified': True, 'distance': 0.3005544433125097, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
11:29:52 {'verified': True, 'distance': 0.29247257052895703, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 5}
